pw_number,version,disaster_name,applicant_name,applicant_abbreviation,applicant_type,FEMA_branch,sector,category,pw_description,obligated_date,latest_payment _date,obligated_amount,disbursed_amount,cost_share,project_cost,last_update_date
PA-02-PR-4339-PW-00862,0,Hurricane Maria (4339),Aguada,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",107804 - MAOM999 - Architectural and Engineering (A/E),12/03/2018,,1838887,0,204321,2043208,06/20/2023
PA-02-PR-4339-PW-00862,1,Hurricane Maria (4339),Aguada,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",107804 - MAOM999 - Architectural and Engineering (A/E),06/16/2020,,-1838887,0,-204321,-2043208,06/20/2023
PA-02-PR-4339-PW-00863,0,Hurricane Maria (4339),Las Marías,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107827 - MLAS999 Architectural and Engineering (A/E) ,12/03/2018,,1056622,0,117402,1174024,06/20/2023
PA-02-PR-4339-PW-00863,1,Hurricane Maria (4339),Las Marías,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107827 - MLAS999 Architectural and Engineering (A/E) ,10/28/2020,,-1056622,0,-117402,-1174024,06/20/2023
PA-02-PR-4339-PW-00865,0,Hurricane Maria (4339),Cabo Rojo, ,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",69209 - MCAB999 Architectural and Engineering (A/E),10/16/2018,,397426,0,44158,441584,06/20/2023
PA-02-PR-4339-PW-00865,1,Hurricane Maria (4339),Cabo Rojo, ,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",69209 - MCAB999 Architectural and Engineering (A/E),06/02/2020,,-397426,0,-44158,-441584,06/20/2023
PA-02-PR-4339-PW-00867,0,Hurricane Maria (4339),Lajas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107844 - MLAJ999 Architectural and Engineering (A/E),10/16/2018,,507175,0,56353,563528,06/20/2023
PA-02-PR-4339-PW-00867,1,Hurricane Maria (4339),Lajas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107844 - MLAJ999 Architectural and Engineering (A/E),02/09/2021,,-507175,0,-56353,-563528,06/20/2023
PA-02-PR-4339-PW-00868,0,Hurricane Maria (4339),Rincón,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",107857 - MRIN999 Architectural and Engineering (A/E),12/03/2018,,1005670,0,111741,1117411,06/20/2023
PA-02-PR-4339-PW-00868,1,Hurricane Maria (4339),Rincón,,Municipality,Branch II - North,Municipalities,"Category G - Parks, Recreational, Others",107857 - MRIN999 Architectural and Engineering (A/E),06/07/2020,,-1005670,0,-111741,-1117411,06/20/2023
PA-02-PR-4339-PW-00873,0,Hurricane Maria (4339),Juana Díaz,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107896 - MJUA003 Architectural and Engineering (A/E),10/10/2018,,547216,0,60802,608018,06/20/2023
PA-02-PR-4339-PW-00873,1,Hurricane Maria (4339),Juana Díaz,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",107896 - MJUA003 Architectural and Engineering (A/E),07/27/2020,,-547216,0,-60802,-608018,06/20/2023
PA-02-PR-4339-PW-00882,0,Hurricane Maria (4339),Guayama,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",82192 - MGUA003 Architectural and Engineering (Global A,10/10/2018,,589522,0,65502,655024,06/20/2023
PA-02-PR-4339-PW-00882,1,Hurricane Maria (4339),Guayama,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",82192 - MGUA003 Architectural and Engineering (Global A,07/27/2020,,-589522,0,-65502,-655024,06/20/2023
PA-02-PR-4339-PW-00888,0,Hurricane Maria (4339),Peñuelas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",106731 - MPEN180 Architectural and Engineering (A/E),01/03/2019,,749582,0,83287,832869,06/20/2023
PA-02-PR-4339-PW-00888,1,Hurricane Maria (4339),Peñuelas,,Municipality,Branch IV - South,Municipalities,"Category G - Parks, Recreational, Others",106731 - MPEN180 Architectural and Engineering (A/E),12/09/2020,,-749582,0,-83287,-832869,06/20/2023
