pw_number,version,disaster_name,applicant_name,applicant_abbreviation,applicant_type,FEMA_branch,sector,category,pw_description,obligated_date,latest_payment _date,obligated_amount,disbursed_amount,cost_share,project_cost,last_update_date
PA-02-PR-4339-PW-02929,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",85722 - MCAG008 Cañaboncito Parcelas - Basketball Court,05/18/2020,06/02/2020,40002,40002,4445,44447,06/20/2023
PA-02-PR-4339-PW-03290,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",85724 - MCAG009 Pozo Dulce - Basketball Court,05/18/2020,06/03/2020,21885,21885,2432,24317,06/20/2023
PA-02-PR-4339-PW-04008,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",85720 - MCAG007 Borinquen Parcelas Viejas - Basketball,07/17/2020,08/10/2020,27835,27835,3093,30928,06/20/2023
PA-02-PR-4339-PW-04158,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others","106961 - MCAG076 - AOB Sport Complex - Covered Court, A",10/08/2020,,1388521,0,154280,1542801,06/20/2023
PA-02-PR-4339-PW-04261,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",108165 - MCAG156 - Yldefonso Morales Baseball Stadium,08/31/2020,06/13/2023,3799469,2469725,422163,4221632,06/20/2023
PA-02-PR-4339-PW-04844,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",76341 - DI Coordinate Change - MCAG005-Parks Group-01,06/02/2020,,538826,0,59870,598696,06/20/2023
PA-02-PR-4339-PW-05944,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",76632 - MCAG077 - AOB Sport Complex - Gymnasium,08/23/2020,,1366131,0,151792,1517923,06/20/2023
PA-02-PR-4339-PW-05959,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",86400 - MCAG019 Caguas Parks Group 02 - Idamaris Garden,08/23/2020,11/09/2021,1405513,202211,156168,1561681,06/20/2023
PA-02-PR-4339-PW-06058,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",122775 - MCAG099 - Parque Del Monte Sector and Julio E.,12/09/2020,,356118,0,39569,395687,06/20/2023
PA-02-PR-4339-PW-06097,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others","108083 - MCAG072 - Altos de la Fuente, Alturas Villa",10/21/2020,,774666,0,86074,860740,06/20/2023
PA-02-PR-4339-PW-06155,2,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others","108120 - MCAG115 - Mirador de Bairoa, Munoz Grillo, Myrlena & Naranjito Recreati",06/14/2023,,151441,0,16827,168268,06/20/2023
PA-02-PR-4339-PW-06930,0,Hurricane Maria (4339),Caguas,,Municipality,Branch III - East,Municipalities,"Category G - Parks, Recreational, Others",86751 - MCAG022 Bunker Community Facilities,11/08/2020,,584901,0,64989,649890,06/20/2023
